Instances: 300, Iterations: 500, KeepBest: 45, KeepWorst: 21, Cross: 21, MutationFactor: 0.001, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 0, BestSol: 1705, BestFeasibleSol: 0, GenAvgValue: 1288.62
Gen: 10, BestSol: 1962, BestFeasibleSol: 0, GenAvgValue: 1891.23
Gen: 20, BestSol: 1965, BestFeasibleSol: 0, GenAvgValue: 1895.87
Gen: 30, BestSol: 1965, BestFeasibleSol: 0, GenAvgValue: 1895.87
Gen: 40, BestSol: 2022, BestFeasibleSol: 0, GenAvgValue: 1915.03
Gen: 50, BestSol: 2049, BestFeasibleSol: 0, GenAvgValue: 1973.99
Gen: 60, BestSol: 2123, BestFeasibleSol: 0, GenAvgValue: 2010.26
Gen: 70, BestSol: 2160, BestFeasibleSol: 0, GenAvgValue: 2077.22
Gen: 80, BestSol: 2160, BestFeasibleSol: 0, GenAvgValue: 2077.18
Gen: 90, BestSol: 2161, BestFeasibleSol: 0, GenAvgValue: 2078.15
Gen: 100, BestSol: 2161, BestFeasibleSol: 0, GenAvgValue: 2078.15
Gen: 110, BestSol: 2161, BestFeasibleSol: 0, GenAvgValue: 2078
Gen: 120, BestSol: 2165, BestFeasibleSol: 0, GenAvgValue: 2081.87
Gen: 130, BestSol: 2165, BestFeasibleSol: 0, GenAvgValue: 2081.87
Gen: 140, BestSol: 2165, BestFeasibleSol: 0, GenAvgValue: 2081.75
Gen: 150, BestSol: 2165, BestFeasibleSol: 0, GenAvgValue: 2081.87
Gen: 160, BestSol: 2165, BestFeasibleSol: 0, GenAvgValue: 2081.87
Gen: 170, BestSol: 2165, BestFeasibleSol: 0, GenAvgValue: 2081.87
Gen: 180, BestSol: 2165, BestFeasibleSol: 0, GenAvgValue: 2081.87
Gen: 190, BestSol: 2165, BestFeasibleSol: 0, GenAvgValue: 2081.72
Gen: 200, BestSol: 2165, BestFeasibleSol: 0, GenAvgValue: 2081.87
Gen: 210, BestSol: 2165, BestFeasibleSol: 0, GenAvgValue: 2081.87
Gen: 220, BestSol: 2185, BestFeasibleSol: 0, GenAvgValue: 2081.93
Gen: 230, BestSol: 2185, BestFeasibleSol: 0, GenAvgValue: 2100.47
Gen: 240, BestSol: 2216, BestFeasibleSol: 0, GenAvgValue: 2109.84
Gen: 250, BestSol: 2216, BestFeasibleSol: 0, GenAvgValue: 2129.3
Gen: 260, BestSol: 2216, BestFeasibleSol: 0, GenAvgValue: 2129.15
Gen: 270, BestSol: 2216, BestFeasibleSol: 0, GenAvgValue: 2129.3
Gen: 280, BestSol: 2216, BestFeasibleSol: 0, GenAvgValue: 2129.3
Gen: 290, BestSol: 2216, BestFeasibleSol: 0, GenAvgValue: 2129.3
Gen: 300, BestSol: 2216, BestFeasibleSol: 0, GenAvgValue: 2129.3
Gen: 310, BestSol: 2216, BestFeasibleSol: 0, GenAvgValue: 2129.3
Gen: 320, BestSol: 2266, BestFeasibleSol: 0, GenAvgValue: 2175.8
Gen: 330, BestSol: 2314, BestFeasibleSol: 0, GenAvgValue: 2220.44
Gen: 340, BestSol: 2314, BestFeasibleSol: 0, GenAvgValue: 2220.44
Gen: 350, BestSol: 2336, BestFeasibleSol: 0, GenAvgValue: 2240.88
Gen: 360, BestSol: 2336, BestFeasibleSol: 0, GenAvgValue: 2240.9
Gen: 370, BestSol: 2368, BestFeasibleSol: 0, GenAvgValue: 2270.66
Gen: 380, BestSol: 2384, BestFeasibleSol: 0, GenAvgValue: 2272.48
Gen: 390, BestSol: 2423, BestFeasibleSol: 0, GenAvgValue: 2321.81
Gen: 400, BestSol: 2460, BestFeasibleSol: 0, GenAvgValue: 2356.07
Gen: 410, BestSol: 2460, BestFeasibleSol: 0, GenAvgValue: 2356.22
Gen: 420, BestSol: 2460, BestFeasibleSol: 0, GenAvgValue: 2356.22
Gen: 430, BestSol: 2460, BestFeasibleSol: 0, GenAvgValue: 2356.22
Gen: 440, BestSol: 2476, BestFeasibleSol: 0, GenAvgValue: 2371.1
Gen: 450, BestSol: 2476, BestFeasibleSol: 0, GenAvgValue: 2371.1
Gen: 460, BestSol: 2476, BestFeasibleSol: 0, GenAvgValue: 2371.1
Gen: 470, BestSol: 2476, BestFeasibleSol: 0, GenAvgValue: 2371.1
Gen: 480, BestSol: 2476, BestFeasibleSol: 0, GenAvgValue: 2371.1
Gen: 490, BestSol: 2476, BestFeasibleSol: 0, GenAvgValue: 2371.1
Total best: 0
FirstFeasibleIteration: 0
Time: 0.247046
Input file: instances/_uf250-01.cnf
Gen: 0, BestSol: 1576, BestFeasibleSol: 0, GenAvgValue: 1230.56
Gen: 10, BestSol: 1407, BestFeasibleSol: 1407, GenAvgValue: 1376.7
Gen: 20, BestSol: 1407, BestFeasibleSol: 1407, GenAvgValue: 1376.7
Gen: 30, BestSol: 1407, BestFeasibleSol: 1407, GenAvgValue: 1376.7
Gen: 40, BestSol: 1407, BestFeasibleSol: 1407, GenAvgValue: 1376.7
Gen: 50, BestSol: 1407, BestFeasibleSol: 1407, GenAvgValue: 1376.7
Gen: 60, BestSol: 1428, BestFeasibleSol: 1428, GenAvgValue: 1396.23
Gen: 70, BestSol: 1469, BestFeasibleSol: 1469, GenAvgValue: 1434.36
Gen: 80, BestSol: 1469, BestFeasibleSol: 1469, GenAvgValue: 1434.36
Gen: 90, BestSol: 1513, BestFeasibleSol: 1513, GenAvgValue: 1441.92
Gen: 100, BestSol: 1513, BestFeasibleSol: 1513, GenAvgValue: 1475.28
Gen: 110, BestSol: 1553, BestFeasibleSol: 1553, GenAvgValue: 1512.48
Gen: 120, BestSol: 1553, BestFeasibleSol: 1553, GenAvgValue: 1512.48
Gen: 130, BestSol: 1553, BestFeasibleSol: 1553, GenAvgValue: 1512.48
Gen: 140, BestSol: 1608, BestFeasibleSol: 1608, GenAvgValue: 1563.63
Gen: 150, BestSol: 1625, BestFeasibleSol: 1625, GenAvgValue: 1579.44
Gen: 160, BestSol: 1625, BestFeasibleSol: 1625, GenAvgValue: 1579.44
Gen: 170, BestSol: 1625, BestFeasibleSol: 1625, GenAvgValue: 1579.44
Gen: 180, BestSol: 1625, BestFeasibleSol: 1625, GenAvgValue: 1579.44
Gen: 190, BestSol: 1625, BestFeasibleSol: 1625, GenAvgValue: 1579.44
Gen: 200, BestSol: 1625, BestFeasibleSol: 1625, GenAvgValue: 1579.44
Gen: 210, BestSol: 1625, BestFeasibleSol: 1625, GenAvgValue: 1579.44
Gen: 220, BestSol: 1668, BestFeasibleSol: 1668, GenAvgValue: 1619.43
Gen: 230, BestSol: 1680, BestFeasibleSol: 1680, GenAvgValue: 1630.53
Gen: 240, BestSol: 1680, BestFeasibleSol: 1680, GenAvgValue: 1630.48
Gen: 250, BestSol: 1696, BestFeasibleSol: 1696, GenAvgValue: 1645.47
Gen: 260, BestSol: 1730, BestFeasibleSol: 1730, GenAvgValue: 1672.89
Gen: 270, BestSol: 1730, BestFeasibleSol: 1730, GenAvgValue: 1677.09
Gen: 280, BestSol: 1767, BestFeasibleSol: 1767, GenAvgValue: 1677.21
Gen: 290, BestSol: 1804, BestFeasibleSol: 1804, GenAvgValue: 1745.91
Gen: 300, BestSol: 1804, BestFeasibleSol: 1804, GenAvgValue: 1745.91
Gen: 310, BestSol: 1822, BestFeasibleSol: 1822, GenAvgValue: 1762.54
Gen: 320, BestSol: 1822, BestFeasibleSol: 1822, GenAvgValue: 1762.65
Gen: 330, BestSol: 1822, BestFeasibleSol: 1822, GenAvgValue: 1762.49
Gen: 340, BestSol: 1822, BestFeasibleSol: 1822, GenAvgValue: 1762.65
Gen: 350, BestSol: 1822, BestFeasibleSol: 1822, GenAvgValue: 1762.65
Gen: 360, BestSol: 1879, BestFeasibleSol: 1879, GenAvgValue: 1815.54
Gen: 370, BestSol: 1879, BestFeasibleSol: 1879, GenAvgValue: 1815.66
Gen: 380, BestSol: 1879, BestFeasibleSol: 1879, GenAvgValue: 1815.54
Gen: 390, BestSol: 1879, BestFeasibleSol: 1879, GenAvgValue: 1815.66
Gen: 400, BestSol: 1879, BestFeasibleSol: 1879, GenAvgValue: 1815.66
Gen: 410, BestSol: 1879, BestFeasibleSol: 1879, GenAvgValue: 1815.66
Gen: 420, BestSol: 1879, BestFeasibleSol: 1879, GenAvgValue: 1815.66
Gen: 430, BestSol: 1879, BestFeasibleSol: 1879, GenAvgValue: 1815.66
Gen: 440, BestSol: 1929, BestFeasibleSol: 1929, GenAvgValue: 1862.16
Gen: 450, BestSol: 1929, BestFeasibleSol: 1929, GenAvgValue: 1862.16
Gen: 460, BestSol: 1929, BestFeasibleSol: 1929, GenAvgValue: 1862.16
