-n 50 -N 50 -m 0.8 -W 100 -C 100 -k 1.50 -d 1
0 50 2686 100 94 59 98 78 10 97 78 84 18 56 64 95 1 98 64 99 95 96 89 93 77 81 45 68 18 94 6 48 94 75 6 91 52 77 65 89 74 86 94 70 21 85 57 87 79 41 99 36 61 82 77 76 1 57 84 60 31 20 4 92 17 79 64 2 77 52 77 72 81 80 5 74 5 51 16 69 3 37 60 39 67 3 85 88 77 22 98 90 51 71 83 1 53 49 16 54 56 55 29
1 50 2635 79 94 100 26 99 97 93 51 26 100 91 38 98 73 77 85 1 55 87 22 84 10 86 75 65 36 95 84 96 98 76 26 97 23 89 36 94 6 88 11 67 65 74 12 35 55 62 17 81 79 34 68 48 57 90 20 42 10 72 15 80 15 51 70 10 22 24 72 82 77 60 67 18 88 85 54 47 13 71 49 68 80 92 67 40 52 31 18 83 60 55 92 44 30 20 55 64 41 43 33
2 50 2684 53 71 99 30 96 51 97 59 83 33 95 38 69 77 76 89 79 70 72 55 70 43 93 39 74 60 85 25 98 96 88 61 1 57 94 45 90 23 77 6 86 20 82 37 63 43 92 13 91 51 73 44 59 69 81 9 57 94 51 78 89 39 18 48 62 26 68 51 71 25 80 19 54 6 23 86 11 36 56 72 84 100 52 35 66 19 41 95 87 15 46 73 2 14 14 39 50 61 58 98
3 50 2512 94 37 44 7 99 52 90 82 89 78 97 64 86 3 19 53 95 45 93 66 65 25 98 15 96 9 40 52 76 37 78 50 42 17 70 84 87 82 77 11 60 88 66 74 9 67 92 56 83 1 79 83 38 26 52 79 91 78 59 25 81 72 39 82 55 39 85 72 84 85 80 71 22 51 68 58 17 35 62 19 82 53 24 27 8 51 30 67 88 59 31 89 16 82 1 61 56 72 47 6
4 50 2728 99 38 49 70 96 84 98 10 58 57 95 48 94 45 45 80 90 53 91 100 84 91 97 81 57 73 74 64 88 16 85 61 82 2 81 73 78 38 72 67 39 100 92 68 19 21 79 99 93 71 22 54 53 52 89 4 56 51 77 2 87 33 52 91 83 39 38 75 27 56 63 100 73 84 69 6 42 74 36 18 67 51 3 99 64 78 33 39 75 8 86 24 60 32 71 40 80 55 70 60
5 50 2636 98 39 99 87 73 32 91 98 60 43 94 45 97 15 75 74 69 42 62 87 59 41 81 22 93 100 90 86 82 32 92 56 96 64 68 41 42 60 87 20 5 28 80 41 88 37 89 92 41 48 85 51 74 52 95 67 56 69 86 63 65 53 83 69 53 18 72 65 66 44 33 7 77 72 26 82 23 65 46 86 38 52 84 50 9 16 34 66 71 10 1 36 57 49 49 57 31 99 70 76
6 50 2667 95 77 98 20 99 96 92 13 91 70 93 38 7 51 41 2 40 70 96 6 24 67 97 74 86 50 87 6 57 62 70 11 89 75 51 24 79 92 37 73 60 48 82 20 75 89 81 88 94 25 76 67 77 32 80 84 84 74 66 41 90 21 71 10 83 97 46 32 59 99 56 23 39 40 12 9 64 64 88 37 33 38 54 84 30 57 73 18 85 1 58 22 26 89 78 73 65 39 20 22
7 50 2812 99 87 29 91 98 83 95 60 93 78 97 18 96 54 49 19 94 78 92 17 38 46 74 86 81 45 69 65 79 34 88 84 71 89 84 3 59 31 91 72 73 64 62 31 50 91 77 69 87 65 86 30 90 66 85 43 67 16 47 80 68 63 45 33 54 27 37 6 28 5 9 23 70 37 89 83 40 16 75 76 80 95 65 100 83 66 66 70 82 78 76 70 72 6 41 76 57 39 78 24
8 50 2587 77 39 96 41 99 82 98 73 19 46 90 87 82 5 97 52 95 4 42 2 91 89 92 70 94 93 89 22 87 68 88 47 23 16 86 74 74 84 33 85 28 15 7 83 63 36 75 29 53 27 93 98 81 65 85 69 71 59 43 97 52 63 65 35 76 64 69 68 35 31 62 11 30 91 84 95 9 10 57 17 16 68 2 69 72 79 70 81 80 28 78 40 79 66 45 58 41 59 61 71
9 50 2640 96 75 83 99 97 57 98 55 99 21 88 64 69 82 91 7 94 59 85 79 95 70 82 59 79 78 34 88 92 82 48 12 86 85 77 72 84 79 31 55 90 91 65 15 55 32 54 85 62 79 87 74 93 85 7 57 53 94 89 22 73 25 75 24 49 19 25 52 76 1 6 45 11 39 70 68 35 8 64 3 80 63 72 35 28 67 57 16 52 47 61 52 59 71 63 57 68 43 14 24
