Instances: 300, Iterations: 500, KeepBest: 30, KeepWorst: 21, Cross: 150, MutationFactor: 0.001, MaxClauses: 40
Input file: instances/_uf250-00.cnf
Gen: 0, BestSol: 1443, BestFeasibleSol: 1443, GenAvgValue: 1266.87
Gen: 10, BestSol: 1713, BestFeasibleSol: 1713, GenAvgValue: 1656.16
Gen: 20, BestSol: 1753, BestFeasibleSol: 1753, GenAvgValue: 1666.49
Gen: 30, BestSol: 1753, BestFeasibleSol: 1753, GenAvgValue: 1700.89
Gen: 40, BestSol: 1753, BestFeasibleSol: 1753, GenAvgValue: 1700.89
Gen: 50, BestSol: 1753, BestFeasibleSol: 1753, GenAvgValue: 1700.89
Gen: 60, BestSol: 1753, BestFeasibleSol: 1753, GenAvgValue: 1700.89
Gen: 70, BestSol: 1753, BestFeasibleSol: 1753, GenAvgValue: 1700.89
Gen: 80, BestSol: 1753, BestFeasibleSol: 1753, GenAvgValue: 1700.89
Gen: 90, BestSol: 1753, BestFeasibleSol: 1753, GenAvgValue: 1700.89
Gen: 100, BestSol: 1781, BestFeasibleSol: 1781, GenAvgValue: 1700.98
Gen: 110, BestSol: 1781, BestFeasibleSol: 1781, GenAvgValue: 1726.93
Gen: 120, BestSol: 1781, BestFeasibleSol: 1781, GenAvgValue: 1726.93
Gen: 130, BestSol: 1781, BestFeasibleSol: 1781, GenAvgValue: 1726.84
Gen: 140, BestSol: 1781, BestFeasibleSol: 1781, GenAvgValue: 1726.93
Gen: 150, BestSol: 1781, BestFeasibleSol: 1781, GenAvgValue: 1726.93
Gen: 160, BestSol: 1800, BestFeasibleSol: 1800, GenAvgValue: 1735.36
Gen: 170, BestSol: 1834, BestFeasibleSol: 1834, GenAvgValue: 1776.22
Gen: 180, BestSol: 1834, BestFeasibleSol: 1834, GenAvgValue: 1776.22
Gen: 190, BestSol: 1848, BestFeasibleSol: 1848, GenAvgValue: 1789.24
Gen: 200, BestSol: 1848, BestFeasibleSol: 1848, GenAvgValue: 1789.24
Gen: 210, BestSol: 1848, BestFeasibleSol: 1848, GenAvgValue: 1789.24
Gen: 220, BestSol: 1848, BestFeasibleSol: 1848, GenAvgValue: 1789.24
Gen: 230, BestSol: 1848, BestFeasibleSol: 1848, GenAvgValue: 1789.24
Gen: 240, BestSol: 1848, BestFeasibleSol: 1848, GenAvgValue: 1789.24
Gen: 250, BestSol: 1853, BestFeasibleSol: 1853, GenAvgValue: 1793.89
Gen: 260, BestSol: 1853, BestFeasibleSol: 1853, GenAvgValue: 1793.89
Gen: 270, BestSol: 1853, BestFeasibleSol: 1853, GenAvgValue: 1793.89
Gen: 280, BestSol: 1853, BestFeasibleSol: 1853, GenAvgValue: 1793.89
Gen: 290, BestSol: 1853, BestFeasibleSol: 1853, GenAvgValue: 1793.89
Gen: 300, BestSol: 1853, BestFeasibleSol: 1853, GenAvgValue: 1793.89
Gen: 310, BestSol: 1853, BestFeasibleSol: 1853, GenAvgValue: 1793.89
Gen: 320, BestSol: 1870, BestFeasibleSol: 1870, GenAvgValue: 1808.34
Gen: 330, BestSol: 1870, BestFeasibleSol: 1870, GenAvgValue: 1809.7
Gen: 340, BestSol: 1882, BestFeasibleSol: 1882, GenAvgValue: 1820.86
Gen: 350, BestSol: 1882, BestFeasibleSol: 1882, GenAvgValue: 1820.86
Gen: 360, BestSol: 1882, BestFeasibleSol: 1882, GenAvgValue: 1820.86
Gen: 370, BestSol: 1882, BestFeasibleSol: 1882, GenAvgValue: 1820.86
Gen: 380, BestSol: 1882, BestFeasibleSol: 1882, GenAvgValue: 1820.86
Gen: 390, BestSol: 1882, BestFeasibleSol: 1882, GenAvgValue: 1820.86
Gen: 400, BestSol: 1904, BestFeasibleSol: 1904, GenAvgValue: 1841.32
Gen: 410, BestSol: 1904, BestFeasibleSol: 1904, GenAvgValue: 1841.19
Gen: 420, BestSol: 1904, BestFeasibleSol: 1904, GenAvgValue: 1841.32
Gen: 430, BestSol: 1904, BestFeasibleSol: 1904, GenAvgValue: 1841.32
Gen: 440, BestSol: 1904, BestFeasibleSol: 1904, GenAvgValue: 1841.32
Gen: 450, BestSol: 1904, BestFeasibleSol: 1904, GenAvgValue: 1841.25
Gen: 460, BestSol: 1904, BestFeasibleSol: 1904, GenAvgValue: 1841.32
Gen: 470, BestSol: 1904, BestFeasibleSol: 1904, GenAvgValue: 1841.32
Gen: 480, BestSol: 1904, BestFeasibleSol: 1904, GenAvgValue: 1841.32
Gen: 490, BestSol: 1936, BestFeasibleSol: 1936, GenAvgValue: 1871.08
Total best: 1936
FirstFeasibleIteration: 1
Time: 0.246938
Input file: instances/_uf250-01.cnf
Gen: 0, BestSol: 1434, BestFeasibleSol: 0, GenAvgValue: 1060.28
Gen: 10, BestSol: 1528, BestFeasibleSol: 1528, GenAvgValue: 1453.75
Gen: 20, BestSol: 1548, BestFeasibleSol: 1548, GenAvgValue: 1497.42
Gen: 30, BestSol: 1548, BestFeasibleSol: 1548, GenAvgValue: 1497.42
